Humidity,Tepmrature,Label
43.82,30.21,1
43.79,30.2,1
43.79,30.19,1
43.79,30.19,1
43.79,30.19,1
43.79,30.19,1
43.79,30.19,1
43.79,30.19,1
43.79,30.21,1
43.79,30.22,1
43.82,30.23,1
43.82,30.23,1
43.79,30.23,1
43.79,30.24,1
43.82,30.24,1
43.85,30.23,1
43.85,30.23,1
43.85,30.23,1
43.85,30.22,1
43.85,30.21,1
43.85,30.22,1
43.85,30.22,1
43.85,30.22,1
43.88,30.22,1
43.92,30.21,1
43.88,30.21,1
43.85,30.22,1
43.82,30.23,1
43.82,30.23,1
43.79,30.23,1
43.82,30.23,1
43.79,30.23,1
43.82,30.24,1
43.85,30.24,1
43.88,30.24,1
43.92,30.23,1
43.92,30.23,1
43.92,30.22,1
43.85,30.23,1
43.88,30.24,1
43.88,30.21,1
43.92,30.22,1
43.88,30.19,1
43.88,30.21,1
43.92,30.19,1
43.92,30.2,1
43.92,30.19,1
43.98,30.19,1
43.98,30.19,1
44.02,30.19,1
44.02,30.19,1
43.98,30.2,1
43.98,30.2,1
44.05,30.19,1
44.05,30.19,1
44.05,30.2,1
44.02,30.21,1
44.05,30.2,1
44.05,30.19,1
44.05,30.19,1
44.08,30.19,1
44.05,30.21,1
44.05,30.21,1
44.02,30.21,1
43.98,30.19,1
43.98,30.18,1
44.02,30.18,1
44.02,30.18,1
43.98,30.19,1
43.98,30.19,1
43.95,30.19,1
43.98,30.19,1
43.98,30.19,1
43.98,30.19,1
44.05,30.18,1
44.05,30.17,1
44.05,30.17,1
44.12,30.16,1
44.12,30.15,1
44.12,30.15,1
44.12,30.15,1
44.08,30.15,1
44.05,30.15,1
44.08,30.13,1
44.12,30.13,1
44.12,30.13,1
44.15,30.13,1
44.18,30.12,1
44.15,30.14,1
44.15,30.15,1
44.15,30.14,1
44.15,30.16,1
44.18,30.14,1
44.18,30.14,1
44.15,30.15,1
44.15,30.15,1
44.15,30.15,1
44.15,30.15,1
44.18,30.13,1
44.18,30.12,1
44.18,30.12,1
44.22,30.11,1
44.25,30.1,1
44.25,30.09,1
44.25,30.08,1
44.25,30.09,1
44.25,30.1,1
44.28,30.1,1
44.35,30.09,1
44.35,30.09,1
44.35,30.09,1
44.32,30.11,1
44.28,30.11,1
44.28,30.12,1
44.25,30.14,1
44.22,30.16,1
44.18,30.17,1
44.22,30.15,1
